"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X","Actual-Y"
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:31:46",5,1910,10,1909,11,1747,358
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:31:49",35,1910,1070,1909,1068,1815,1071
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:31:51",34,1530,1070,1530,1067,1549,1066
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:31:53",4,1530,10,1530,9,1574,188
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:31:55",17,1910,434,1912,433,1819,526
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:31:58",28,1530,858,1531,859,1624,721
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:00",30,10,1070,10,1069,60,1005
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:02",18,10,646,8,645,83,707
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:06",34,1530,1070,1529,1069,1530,1078
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:08",20,770,646,769,645,833,685
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:09",17,1910,434,1908,432,1806,559
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:11",29,1910,858,1909,860,1780,955
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:14",25,390,858,388,857,374,866
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:16",15,1150,434,1148,434,1300,455
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:19",25,390,858,388,856,402,886
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:22",23,1910,646,1909,646,1725,820
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:25",7,390,222,389,222,340,191
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:28",26,770,858,769,857,810,892
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:30",3,1150,10,1150,9,1224,206
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:32",0,10,10,8,9,128,214
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:35",27,1150,858,1150,858,1211,932
"bottom_mf","Tim","Gazepoint GP3","2021-07-06 14:32:37",24,10,858,8,857,16,808
