"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X","Actual-Y"
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:14",5,1910,10,1912,10,983,1037
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:16",35,1910,1070,1912,1072,990,812
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:20",34,1530,1070,1530,1071,1049,814
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:22",4,1530,10,1528,9,1048,1037
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:24",17,1910,434,1910,433,984,947
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:27",28,1530,858,1530,857,1048,854
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:32",30,10,1070,8,1068,1289,802
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:35",18,10,646,10,647,1295,891
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:39",34,1530,1070,1529,1068,1049,812
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:43",20,770,646,769,647,1171,892
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:45",17,1910,434,1910,436,984,942
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:46",29,1910,858,1913,858,986,850
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:50",25,390,858,392,859,1230,852
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:52",15,1150,434,1151,436,1111,935
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:56",25,390,858,388,860,1230,850
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:31:58",23,1910,646,1909,644,986,900
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:02",7,390,222,389,222,1242,986
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:03",26,770,858,771,859,1170,856
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:05",3,1150,10,1149,10,1112,1032
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:07",0,10,10,10,11,1312,1029
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:12",27,1150,858,1150,860,1110,858
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:17",24,10,858,10,860,1291,847
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:21",14,770,434,768,433,1174,938
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:23",9,1150,222,1151,223,1116,990
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:24",4,1530,10,1531,12,1051,1039
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:26",33,1150,1070,1152,1069,1111,814
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:28",32,770,1070,771,1071,1170,814
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:29",26,770,858,772,856,1173,855
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:31",23,1910,646,1909,646,990,897
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:32",11,1910,222,1910,221,987,988
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:38",18,10,646,10,646,1297,892
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:39",11,1910,222,1910,222,988,993
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:44",33,1150,1070,1149,1070,1108,816
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:53",35,1910,1070,1910,1068,991,809
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:55",19,390,646,389,645,1238,886
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:32:58",7,390,222,391,221,1244,978
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:00",30,10,1070,10,1070,1292,798
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:02",15,1150,434,1151,433,1114,935
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:06",2,770,10,768,10,1183,1030
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:10",21,1150,646,1151,647,1113,895
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:12",20,770,646,772,645,1175,892
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:15",21,1150,646,1149,647,1113,894
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:18",29,1910,858,1911,856,991,853
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:21",28,1530,858,1528,858,1051,852
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:25",32,770,1070,768,1069,1172,813
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:27",10,1530,222,1531,222,1052,988
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:29",22,1530,646,1529,647,1052,898
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:32",14,770,434,768,434,1176,939
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:34",6,10,222,13,222,1310,980
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:36",0,10,10,7,10,1317,1028
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:37",10,1530,222,1531,223,1051,994
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:39",9,1150,222,1150,220,1116,989
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:43",24,10,858,10,856,1296,848
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:45",3,1150,10,1151,12,1116,1032
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:50",2,770,10,769,10,1185,1036
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:51",19,390,646,388,646,1235,894
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:54",31,390,1070,389,1069,1229,809
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:55",6,10,222,9,220,1309,980
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:57",22,1530,646,1528,646,1053,896
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:33:59",16,1530,434,1529,435,1051,946
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:00",13,390,434,390,434,1241,937
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:02",5,1910,10,1910,13,989,1040
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:10",12,10,434,9,434,1307,935
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:13",8,770,222,768,221,1178,980
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:19",12,10,434,9,434,1303,934
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:21",31,390,1070,389,1069,1229,807
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:23",1,390,10,390,8,1247,1028
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:24",8,770,222,768,223,1179,985
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:26",27,1150,858,1149,857,1113,854
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:29",13,390,434,389,436,1240,935
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:33",1,390,10,392,12,1250,1031
"far_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 17:34:34",16,1530,434,1531,433,1051,944
"Label","Subject","Tracker","Timestamp","Target-ID","Target-X","Target-Y","Cursor-X","Cursor-Y","Actual-X","Actual-Y"
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:20",5,1910,10,1910,11,1869,2147483617
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:23",35,1910,1070,1908,1068,1882,1021
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:25",34,1530,1070,1528,1070,1511,1036
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:29",4,1530,10,1529,10,1483,15
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:32",17,1910,434,1908,435,1871,422
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:34",28,1530,858,1528,857,1519,857
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:36",30,10,1070,7,1070,47,1036
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:37",18,10,646,9,645,35,631
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:43",34,1530,1070,1532,1068,1502,1033
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:48",20,770,646,770,649,769,632
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:52",17,1910,434,1909,434,1873,432
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:55",29,1910,858,1908,859,1881,835
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:57",25,390,858,390,859,401,849
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:51:59",15,1150,434,1150,431,1136,430
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:52:02",25,390,858,388,860,405,828
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:52:05",23,1910,646,1910,646,1875,638
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:52:07",7,390,222,391,224,399,255
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:52:10",26,770,858,770,859,769,822
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:52:12",3,1150,10,1148,10,1130,8
"mid_chinrest","44","SR Eyelink 1000 Plus","2021-06-28 16:52:21",0,10,10,11,10,26,2147483638
